class index,class name,top-1,top-5
625,lifeboat,88.0,100.0
626,lighter,50.0,78.0
627,limousine,82.0,96.0
628,ocean liner,84.0,98.0
629,lipstick,60.0,84.0
630,slip-on shoe,60.0,94.0
631,lotion,44.0,88.0
632,music speaker,54.0,70.0
633,loupe magnifying glass,24.0,48.0
634,sawmill,64.0,98.0
635,magnetic compass,64.0,82.0
636,messenger bag,62.0,96.0
637,mailbox,70.0,86.0
638,tights,0.0,18.0
639,one-piece bathing suit,78.0,94.0
640,manhole cover,84.0,98.0
641,maraca,48.0,80.0
642,marimba,76.0,88.0
643,mask,56.00000000000001,88.0
644,matchstick,26.0,74.0
645,maypole,96.0,100.0
646,maze,66.0,70.0
647,measuring cup,62.0,80.0
648,medicine cabinet,26.0,50.0
649,megalith,72.0,90.0
650,microphone,56.00000000000001,76.0
651,microwave oven,38.0,74.0
652,military uniform,74.0,92.0
653,milk can,22.0,57.99999999999999
654,minibus,78.0,98.0
655,miniskirt,60.0,90.0
656,minivan,38.0,72.0
657,missile,36.0,88.0
658,mitten,22.0,76.0
659,mixing bowl,38.0,86.0
660,mobile home,66.0,88.0
661,ford model t,86.0,98.0
662,modem,57.99999999999999,82.0
663,monastery,46.0,90.0
664,monitor,14.000000000000002,68.0
665,moped,50.0,82.0
666,mortar and pestle,56.00000000000001,86.0
667,graduation cap,30.0,76.0
668,mosque,100.0,100.0
669,mosquito net,56.00000000000001,96.0
670,vespa,26.0,86.0
671,mountain bike,88.0,100.0
672,tent,82.0,98.0
673,computer mouse,36.0,56.00000000000001
674,mousetrap,54.0,74.0
675,moving van,52.0,86.0
676,muzzle,26.0,56.00000000000001
677,metal nail,14.000000000000002,46.0
678,neck brace,44.0,72.0
679,necklace,96.0,100.0
680,baby pacifier,26.0,34.0
681,notebook computer,14.000000000000002,78.0
682,obelisk,82.0,96.0
683,oboe,42.0,90.0
684,ocarina,60.0,70.0
685,odometer,98.0,98.0
686,oil filter,66.0,86.0
687,pipe organ,86.0,98.0
688,oscilloscope,88.0,94.0
689,overskirt,40.0,94.0
690,bullock cart,82.0,100.0
691,oxygen mask,34.0,74.0
692,product packet / packaging,56.00000000000001,88.0
693,paddle,42.0,88.0
694,paddle wheel,78.0,96.0
695,padlock,80.0,88.0
696,paintbrush,34.0,64.0
697,pajamas,60.0,94.0
698,palace,64.0,100.0
699,pan flute,46.0,80.0
700,paper towel,8.0,52.0
701,parachute,94.0,98.0
702,parallel bars,12.0,94.0
703,park bench,80.0,86.0
704,parking meter,62.0,88.0
705,railroad car,16.0,72.0
706,patio,60.0,88.0
707,payphone,64.0,88.0
708,pedestal,44.0,90.0
709,pencil case,64.0,96.0
710,pencil sharpener,34.0,60.0
711,perfume,74.0,92.0
712,Petri dish,74.0,80.0
713,photocopier,78.0,90.0
714,plectrum,72.0,88.0
715,Pickelhaube,34.0,86.0
716,picket fence,52.0,88.0
717,pickup truck,56.00000000000001,92.0
718,pier,14.000000000000002,64.0
719,piggy bank,78.0,86.0
720,pill bottle,66.0,88.0
721,pillow,38.0,66.0
722,ping-pong ball,22.0,74.0
723,pinwheel,76.0,94.0
724,pirate ship,52.0,90.0
725,drink pitcher,24.0,68.0
726,block plane,74.0,88.0
727,planetarium,80.0,92.0
728,plastic bag,36.0,64.0
729,plate rack,56.00000000000001,78.0
730,farm plow,14.000000000000002,64.0
731,plunger,20.0,50.0
732,Polaroid camera,82.0,94.0
733,pole,28.000000000000004,54.0
734,police van,80.0,98.0
735,poncho,46.0,88.0
736,pool table,84.0,92.0
737,soda bottle,46.0,90.0
738,plant pot,46.0,92.0
739,potter's wheel,94.0,98.0
740,power drill,44.0,72.0
741,prayer rug,72.0,92.0
742,printer,30.0,92.0
743,prison,76.0,88.0
744,missile,16.0,76.0
745,projector,34.0,68.0
746,hockey puck,90.0,94.0
747,punching bag,56.00000000000001,78.0
748,purse,26.0,66.0
749,quill,22.0,62.0
750,quilt,0.0,44.0
751,race car,66.0,90.0
752,racket,84.0,94.0
753,radiator,36.0,72.0
754,radio,40.0,82.0
755,radio telescope,90.0,96.0
756,rain barrel,66.0,88.0
757,recreational vehicle,62.0,96.0
758,fishing casting reel,66.0,92.0
759,reflex camera,74.0,100.0
760,refrigerator,76.0,96.0
761,remote control,74.0,92.0
762,restaurant,52.0,66.0
763,revolver,82.0,98.0
764,rifle,50.0,78.0
765,rocking chair,36.0,80.0
766,rotisserie,84.0,92.0
767,eraser,14.000000000000002,34.0
768,rugby ball,72.0,94.0
769,ruler measuring stick,56.00000000000001,76.0
770,sneaker,60.0,82.0
771,safe,14.000000000000002,50.0
772,safety pin,32.0,50.0
773,salt shaker,36.0,78.0
774,sandal,52.0,86.0
775,sarong,80.0,94.0
776,saxophone,57.99999999999999,84.0
777,scabbard,57.99999999999999,92.0
778,weighing scale,32.0,62.0
779,school bus,92.0,100.0
780,schooner,80.0,96.0
781,scoreboard,96.0,100.0
782,CRT monitor,14.000000000000002,38.0
783,screw,80.0,92.0
784,screwdriver,10.0,44.0
785,seat belt,42.0,80.0
786,sewing machine,64.0,80.0
787,shield,14.000000000000002,56.00000000000001
788,shoe store,70.0,88.0
789,shoji screen / room divider,74.0,90.0
790,shopping basket,40.0,82.0
791,shopping cart,74.0,96.0
792,shovel,34.0,68.0
793,shower cap,56.00000000000001,88.0
794,shower curtain,32.0,74.0
795,ski,88.0,96.0
796,balaclava ski mask,68.0,92.0
797,sleeping bag,62.0,86.0
798,slide rule,64.0,86.0
799,sliding door,34.0,62.0
800,slot machine,96.0,98.0
801,snorkel,42.0,100.0
802,snowmobile,90.0,100.0
803,snowplow,86.0,98.0
804,soap dispenser,32.0,70.0
805,soccer ball,90.0,94.0
806,sock,54.0,84.0
807,solar thermal collector,44.0,80.0
808,sombrero,46.0,80.0
809,soup bowl,36.0,100.0
810,keyboard space bar,12.0,52.0
811,space heater,46.0,64.0
812,space shuttle,80.0,94.0
813,spatula,16.0,52.0
814,motorboat,36.0,90.0
815,spider web,52.0,84.0
816,spindle,24.0,66.0
817,sports car,50.0,96.0
818,spotlight,14.000000000000002,46.0
819,stage,70.0,88.0
820,steam locomotive,94.0,100.0
821,through arch bridge,54.0,96.0
822,steel drum,84.0,92.0
823,stethoscope,54.0,72.0
824,scarf,30.0,80.0
825,stone wall,88.0,94.0
826,stopwatch,42.0,88.0
827,stove,74.0,90.0
828,strainer,24.0,66.0
829,tram,78.0,98.0
830,stretcher,54.0,84.0
831,couch,57.99999999999999,80.0
832,stupa,88.0,94.0
833,submarine,66.0,92.0
834,suit,34.0,70.0
835,sundial,66.0,90.0
836,sunglasses,46.0,64.0
837,sunglasses,2.0,72.0
838,sunscreen,28.000000000000004,72.0
839,suspension bridge,68.0,96.0
840,mop,24.0,52.0
841,sweatshirt,38.0,80.0
842,swim trunks / shorts,20.0,64.0
843,swing,66.0,86.0
844,electrical switch,64.0,84.0
845,syringe,44.0,74.0
846,table lamp,64.0,84.0
847,tank,66.0,94.0
848,tape player,28.000000000000004,84.0
849,teapot,80.0,96.0
850,teddy bear,74.0,92.0
851,television,50.0,90.0
852,tennis ball,60.0,90.0
853,thatched roof,76.0,92.0
854,front curtain,46.0,80.0
855,thimble,52.0,70.0
